Tarih,Tahmin_TRY,Alt_Sinir_TRY,Ust_Sinir_TRY
2025-12-02 07:00:00,2928.983977149541,1929.7732070521865,3966.1943444330464
2025-12-02 08:00:00,3085.7777956727296,2049.7087066747245,4109.250735930753
2025-12-02 09:00:00,3007.4632008059843,2008.2944034957302,4001.284079622418
2025-12-02 10:00:00,2787.2488111449047,1719.9689081726399,3803.3635478030947
2025-12-02 11:00:00,2427.2439800951806,1453.9065840180701,3392.928460140783
2025-12-02 12:00:00,2292.2754608779014,1197.4299552299847,3253.058892303826
2025-12-02 13:00:00,2324.0224852831434,1292.6750666284197,3345.531051942448
2025-12-02 14:00:00,2525.903205003948,1426.4399606083782,3488.8833121825046
2025-12-02 15:00:00,2810.423859702321,1781.890464921216,3779.0747138542997
2025-12-02 16:00:00,3105.780858771351,2135.2801816318743,4115.398535247681
2025-12-02 17:00:00,3254.634278714836,2282.7595230721017,4312.013401583974
2025-12-02 18:00:00,3458.3217082014635,2451.9631109528477,4526.90029623198
2025-12-02 19:00:00,3468.3934913406874,2469.4744509747015,4463.485620247833
2025-12-02 20:00:00,3462.7623651427757,2465.791155971656,4435.214536387424
2025-12-02 21:00:00,3423.7240746590232,2414.6683754691303,4552.331833759569
2025-12-02 22:00:00,3164.688373789525,2097.821184535014,4144.847388429559
2025-12-02 23:00:00,2973.760407345967,1982.6138502454116,4016.521848942092
2025-12-03 00:00:00,3164.60565193923,2145.018594977732,4204.717281547507
2025-12-03 01:00:00,2958.138715422657,1925.7339778691419,3936.652029153674
2025-12-03 02:00:00,2820.4888590581795,1798.3348270019442,3798.7009818719866
2025-12-03 03:00:00,2754.5067981209763,1727.524757990788,3805.30805343695
2025-12-03 04:00:00,2738.474006389965,1707.6573669919449,3761.358306034384
2025-12-03 05:00:00,2755.0449461595867,1825.2201539278385,3765.8902727000377
2025-12-03 06:00:00,2797.591926895465,1721.4878822456883,3847.696658924446
2025-12-03 07:00:00,2849.4719005946713,1771.553316965936,3821.7863932344812
2025-12-03 08:00:00,3015.949702237094,1989.0711677037518,4024.7488573716046
2025-12-03 09:00:00,2948.317620143462,1903.7365208546673,3989.966590376308
2025-12-03 10:00:00,2739.596287724028,1731.8280393726102,3653.342572566716
2025-12-03 11:00:00,2391.7016608632175,1316.7276588915945,3454.2617604205516
2025-12-03 12:00:00,2269.264258226128,1182.3433770041067,3283.312767692048
2025-12-03 13:00:00,2313.7668128865703,1289.5688856156517,3313.294084555116
2025-12-03 14:00:00,2528.4332518023566,1502.7914160183968,3583.832532799221
2025-12-03 15:00:00,2825.5803348026793,1765.6216888272486,3785.5230246055507
2025-12-03 16:00:00,3133.2221093333437,2128.507701150471,4192.096607806396
2025-12-03 17:00:00,3293.84565320844,2281.711576407976,4322.418981655176
2025-12-03 18:00:00,3508.6270096883527,2511.2988639621813,4516.900537576819
2025-12-03 19:00:00,3528.9683399530986,2526.2337101276557,4572.011569535144
2025-12-03 20:00:00,3532.6492658650604,2550.9553593125383,4553.726682598185
2025-12-03 21:00:00,3501.848966239574,2520.0942179945946,4512.250041869466
2025-12-03 22:00:00,3249.8784173873723,2206.1185043571063,4257.495680912409
2025-12-03 23:00:00,3064.7627594339197,1974.8198566934009,4066.104095205482
2025-12-04 00:00:00,3260.106955501628,2287.3579133795706,4259.211629964697
2025-12-04 01:00:00,3056.785036258431,2053.0544185143494,4040.5348490197284
2025-12-04 02:00:00,2920.9057906111916,1836.2043747793596,3902.511195370835
2025-12-04 03:00:00,2855.3194583318864,1929.814722701311,3839.4997937318385
2025-12-04 04:00:00,2838.3266539470605,1765.37451213834,3939.4978259636496
2025-12-04 05:00:00,2852.619950651602,1845.0559182435534,3867.9624778028124
2025-12-04 06:00:00,2891.6278383603117,1861.9608497259057,3893.519592866197
2025-12-04 07:00:00,2938.780377828698,1917.0215938518502,3950.3559636508985
2025-12-04 08:00:00,3099.43107657745,2090.8778984553387,4064.212468587273
2025-12-04 09:00:00,3024.974891355254,2062.441611536088,4058.357764909346
2025-12-04 10:00:00,2808.5473713067086,1722.4150895798743,3899.151393278795
2025-12-04 11:00:00,2452.189731186054,1374.861402978462,3404.940556831091
2025-12-04 12:00:00,2320.66605850358,1333.6301757364245,3324.1837472201723
2025-12-04 13:00:00,2355.5988320239258,1309.4005364153174,3388.782450341232
2025-12-04 14:00:00,2560.355697442201,1574.9587468650454,3648.5605259509366
2025-12-04 15:00:00,2847.398862865227,1909.523277778358,3875.405165907671
2025-12-04 16:00:00,3144.8873013982766,2092.961940584497,4171.671188297499
2025-12-04 17:00:00,3295.450263904206,2284.534307949648,4385.352780505472
2025-12-04 18:00:00,3500.401037422742,2452.3796487356776,4527.35152538918
2025-12-04 19:00:00,3511.2720040859094,2469.7736288248216,4507.828055366807
2025-12-04 20:00:00,3505.964002156259,2392.8381595341857,4547.500295778462
2025-12-04 21:00:00,3466.7665798594944,2436.9023103072664,4480.349194911709
2025-12-04 22:00:00,3207.088558066917,2143.954166957202,4222.226179618694
2025-12-04 23:00:00,3015.0389064459505,1927.1683576208864,3969.6252318716083
2025-12-05 00:00:00,3204.29112091025,2158.125568084725,4246.886702484052
2025-12-05 01:00:00,2995.7714124927147,1896.7860358611129,4016.4597195320953
2025-12-05 02:00:00,2855.6235833814126,1839.1557055082417,3856.830062822086
2025-12-05 03:00:00,2786.715157344254,1739.131038901509,3727.4751801365046
2025-12-05 04:00:00,2767.346002045318,1746.378623254541,3833.9985228572423
2025-12-05 05:00:00,2780.1898767531834,1693.2079845639146,3812.1963134747
2025-12-05 06:00:00,2818.638620521508,1775.6871620547424,3866.9154773962423
2025-12-05 07:00:00,2866.0683004530333,1885.0560772014794,3919.473579536035
2025-12-05 08:00:00,3027.761839671377,1946.185443658704,4060.1760981099396
2025-12-05 09:00:00,2955.0280202819918,1998.6347130005915,4054.1976938951484
2025-12-05 10:00:00,2740.901862632312,1723.0178359699626,3835.702870629629
2025-12-05 11:00:00,2387.3111541452304,1327.2452121793617,3297.8785880974137
2025-12-05 12:00:00,2258.895312698778,1204.4904043205702,3288.5509800352534
2025-12-05 13:00:00,2297.1427400047223,1238.2903220208013,3397.487083745119
2025-12-05 14:00:00,2505.2795867475065,1479.1309140171168,3581.4689295827143
2025-12-05 15:00:00,2795.621265725492,1778.2918762422123,3831.142441123034
2025-12-05 16:00:00,3096.1768717580876,2074.275299364206,4114.254538234544
2025-12-05 17:00:00,3249.4249823071596,2285.731471430862,4277.359549577286
2025-12-05 18:00:00,3456.5297430957853,2489.0256017598745,4455.523374624761
2025-12-05 19:00:00,3468.8782622842027,2481.3387452712363,4469.0855405208395
2025-12-05 20:00:00,3464.232283294448,2485.045108363164,4451.040555662002
2025-12-05 21:00:00,3424.7506952174576,2382.0033712641543,4473.586453536531
2025-12-05 22:00:00,3163.7222659802737,2202.5904330163435,4173.365616764874
2025-12-05 23:00:00,2969.1485729083665,1996.4557442593114,3921.0876230848926
2025-12-06 00:00:00,3207.7366496113877,2177.4040532281583,4216.514777677954
2025-12-06 01:00:00,2994.0834727604606,1988.3580316768155,4072.461972914392
2025-12-06 02:00:00,2847.4005392206664,1815.7549290872585,3946.985058923498
2025-12-06 03:00:00,2770.5158785953026,1702.7561132730827,3737.1065543910267
